product_name,product_quantity,product_reason
Darshana Vol 4 Complete Guide (DAR),340,Warehouse inbound allocation transfer
Darshana Foundational Basic Text (DAR),487,Bulk counter stock inward entry
Darshana Classical Commentary (DAR),220,Initial Opening stock entry
Darshana Practical Workbook Set (DAR),443,Inward inventory lot allocation
Darshana Authentic Handbook (DAR),445,Initial setup warehouse inventory allocation
Darshana Wall Charts Set (DAR),454,Warehouse inbound allocation transfer
Darshana Reference Manual (DAR),388,Bulk counter stock inward entry
Darshana Premium Natural Essence (DAR),351,Initial Opening stock entry
Darshana Pure Extract Drops (DAR),208,Inward inventory lot allocation
Darshana Therapeutic Tablets (DAR),427,Initial setup warehouse inventory allocation
Darshana Herbal Powder Mix (DAR),304,Warehouse inbound allocation transfer
Darshana Premium Concentrated Oil (DAR),209,Bulk counter stock inward entry
Darshana Special Application Lepa (DAR),319,Initial Opening stock entry
Darshana Natural Rejuvenator (DAR),469,Inward inventory lot allocation
Darshana Pure Aqueous Drops (DAR),340,Initial setup warehouse inventory allocation
Darshana Ultimate Seeker Starter Kit (DAR),371,Warehouse inbound allocation transfer
Darshana Safe Storage Guide (DAR),264,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (RAS),252,Initial Opening stock entry
Sukrit Vol 2 Standard Text (RAS),400,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (RAS),305,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (RAS),406,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (RAS),360,Bulk counter stock inward entry
Sukrit Classical Commentary (RAS),296,Initial Opening stock entry
Sukrit Practical Workbook Set (RAS),456,Inward inventory lot allocation
Sukrit Authentic Handbook (RAS),344,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (RAS),328,Warehouse inbound allocation transfer
Sukrit Reference Manual (RAS),219,Bulk counter stock inward entry
Sukrit Premium Natural Essence (RAS),444,Initial Opening stock entry
Sukrit Pure Extract Drops (RAS),453,Inward inventory lot allocation
Sukrit Therapeutic Tablets (RAS),429,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (RAS),280,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (RAS),500,Bulk counter stock inward entry
Sukrit Special Application Lepa (RAS),343,Initial Opening stock entry
Sukrit Natural Rejuvenator (RAS),313,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (RAS),385,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (RAS),215,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (RAS),316,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (ARK),262,Initial Opening stock entry
Sukrit Vol 2 Standard Text (ARK),393,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (ARK),487,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (ARK),256,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (ARK),358,Bulk counter stock inward entry
Sukrit Classical Commentary (ARK),327,Initial Opening stock entry
Sukrit Practical Workbook Set (ARK),393,Inward inventory lot allocation
Sukrit Authentic Handbook (ARK),390,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (ARK),440,Warehouse inbound allocation transfer
Sukrit Reference Manual (ARK),438,Bulk counter stock inward entry
Sukrit Premium Natural Essence (ARK),270,Initial Opening stock entry
Sukrit Pure Extract Drops (ARK),340,Inward inventory lot allocation
Sukrit Therapeutic Tablets (ARK),402,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (ARK),412,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (ARK),432,Bulk counter stock inward entry
Sukrit Special Application Lepa (ARK),352,Initial Opening stock entry
Sukrit Natural Rejuvenator (ARK),313,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (ARK),411,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (ARK),359,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (ARK),465,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (GUT),474,Initial Opening stock entry
Sukrit Vol 2 Standard Text (GUT),410,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (GUT),408,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (GUT),389,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (GUT),431,Bulk counter stock inward entry
Sukrit Classical Commentary (GUT),254,Initial Opening stock entry
Sukrit Practical Workbook Set (GUT),233,Inward inventory lot allocation
Sukrit Authentic Handbook (GUT),317,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (GUT),337,Warehouse inbound allocation transfer
Sukrit Reference Manual (GUT),325,Bulk counter stock inward entry
Sukrit Premium Natural Essence (GUT),403,Initial Opening stock entry
Sukrit Pure Extract Drops (GUT),486,Inward inventory lot allocation
Sukrit Therapeutic Tablets (GUT),475,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (GUT),452,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (GUT),343,Bulk counter stock inward entry
Sukrit Special Application Lepa (GUT),231,Initial Opening stock entry
Sukrit Natural Rejuvenator (GUT),327,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (GUT),373,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (GUT),273,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (GUT),468,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (CHU),254,Initial Opening stock entry
Sukrit Vol 2 Standard Text (CHU),427,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (CHU),218,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (CHU),482,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (CHU),414,Bulk counter stock inward entry
Sukrit Classical Commentary (CHU),482,Initial Opening stock entry
Sukrit Practical Workbook Set (CHU),319,Inward inventory lot allocation
Sukrit Authentic Handbook (CHU),224,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (CHU),443,Warehouse inbound allocation transfer
Sukrit Reference Manual (CHU),489,Bulk counter stock inward entry
Sukrit Premium Natural Essence (CHU),399,Initial Opening stock entry
Sukrit Pure Extract Drops (CHU),304,Inward inventory lot allocation
Sukrit Therapeutic Tablets (CHU),396,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (CHU),496,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (CHU),493,Bulk counter stock inward entry
Sukrit Special Application Lepa (CHU),299,Initial Opening stock entry
Sukrit Natural Rejuvenator (CHU),484,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (CHU),294,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (CHU),204,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (CHU),205,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (TAI),453,Initial Opening stock entry
Sukrit Vol 2 Standard Text (TAI),209,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (TAI),434,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (TAI),497,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (TAI),206,Bulk counter stock inward entry
Sukrit Classical Commentary (TAI),234,Initial Opening stock entry
Sukrit Practical Workbook Set (TAI),300,Inward inventory lot allocation
Sukrit Authentic Handbook (TAI),441,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (TAI),266,Warehouse inbound allocation transfer
Sukrit Reference Manual (TAI),222,Bulk counter stock inward entry
Sukrit Premium Natural Essence (TAI),488,Initial Opening stock entry
Sukrit Pure Extract Drops (TAI),473,Inward inventory lot allocation
Sukrit Therapeutic Tablets (TAI),222,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (TAI),412,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (TAI),284,Bulk counter stock inward entry
Sukrit Special Application Lepa (TAI),210,Initial Opening stock entry
Sukrit Natural Rejuvenator (TAI),481,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (TAI),263,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (TAI),359,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (TAI),398,Bulk counter stock inward entry
Sukrit Vol 1 Grand Edition (LEP),494,Initial Opening stock entry
Sukrit Vol 2 Standard Text (LEP),209,Inward inventory lot allocation
Sukrit Vol 3 Advanced Study (LEP),335,Initial setup warehouse inventory allocation
Sukrit Vol 4 Complete Guide (LEP),324,Warehouse inbound allocation transfer
Sukrit Foundational Basic Text (LEP),334,Bulk counter stock inward entry
Sukrit Classical Commentary (LEP),447,Initial Opening stock entry
Sukrit Practical Workbook Set (LEP),393,Inward inventory lot allocation
Sukrit Authentic Handbook (LEP),239,Initial setup warehouse inventory allocation
Sukrit Wall Charts Set (LEP),465,Warehouse inbound allocation transfer
Sukrit Reference Manual (LEP),458,Bulk counter stock inward entry
Sukrit Premium Natural Essence (LEP),340,Initial Opening stock entry
Sukrit Pure Extract Drops (LEP),463,Inward inventory lot allocation
Sukrit Therapeutic Tablets (LEP),270,Initial setup warehouse inventory allocation
Sukrit Herbal Powder Mix (LEP),473,Warehouse inbound allocation transfer
Sukrit Premium Concentrated Oil (LEP),368,Bulk counter stock inward entry
Sukrit Special Application Lepa (LEP),376,Initial Opening stock entry
Sukrit Natural Rejuvenator (LEP),370,Inward inventory lot allocation
Sukrit Pure Aqueous Drops (LEP),253,Initial setup warehouse inventory allocation
Sukrit Ultimate Seeker Starter Kit (LEP),374,Warehouse inbound allocation transfer
Sukrit Safe Storage Guide (LEP),360,Bulk counter stock inward entry
Soma Vol 1 Grand Edition (TEA),341,Initial Opening stock entry
Soma Vol 2 Standard Text (TEA),428,Inward inventory lot allocation
Soma Vol 3 Advanced Study (TEA),406,Initial setup warehouse inventory allocation
Soma Vol 4 Complete Guide (TEA),460,Warehouse inbound allocation transfer
Soma Foundational Basic Text (TEA),244,Bulk counter stock inward entry
Soma Classical Commentary (TEA),237,Initial Opening stock entry
Soma Practical Workbook Set (TEA),292,Inward inventory lot allocation
Soma Authentic Handbook (TEA),441,Initial setup warehouse inventory allocation
Soma Wall Charts Set (TEA),279,Warehouse inbound allocation transfer
Soma Reference Manual (TEA),348,Bulk counter stock inward entry
Soma Premium Natural Essence (TEA),216,Initial Opening stock entry
Soma Pure Extract Drops (TEA),350,Inward inventory lot allocation
Soma Therapeutic Tablets (TEA),355,Initial setup warehouse inventory allocation
Soma Herbal Powder Mix (TEA),457,Warehouse inbound allocation transfer
Soma Premium Concentrated Oil (TEA),315,Bulk counter stock inward entry
Soma Special Application Lepa (TEA),402,Initial Opening stock entry
Soma Natural Rejuvenator (TEA),393,Inward inventory lot allocation
Soma Pure Aqueous Drops (TEA),259,Initial setup warehouse inventory allocation
Soma Ultimate Seeker Starter Kit (TEA),451,Warehouse inbound allocation transfer
Soma Safe Storage Guide (TEA),405,Bulk counter stock inward entry
Vedic Vol 1 Grand Edition (HER),302,Initial Opening stock entry
Vedic Vol 2 Standard Text (HER),251,Inward inventory lot allocation
Vedic Vol 3 Advanced Study (HER),383,Initial setup warehouse inventory allocation
Vedic Vol 4 Complete Guide (HER),447,Warehouse inbound allocation transfer
Vedic Foundational Basic Text (HER),361,Bulk counter stock inward entry
Vedic Classical Commentary (HER),263,Initial Opening stock entry
Vedic Practical Workbook Set (HER),299,Inward inventory lot allocation
Vedic Authentic Handbook (HER),293,Initial setup warehouse inventory allocation
Vedic Wall Charts Set (HER),370,Warehouse inbound allocation transfer
Vedic Reference Manual (HER),425,Bulk counter stock inward entry
Vedic Premium Natural Essence (HER),411,Initial Opening stock entry
Vedic Pure Extract Drops (HER),367,Inward inventory lot allocation
Vedic Therapeutic Tablets (HER),236,Initial setup warehouse inventory allocation
Vedic Herbal Powder Mix (HER),446,Warehouse inbound allocation transfer
Vedic Premium Concentrated Oil (HER),332,Bulk counter stock inward entry
Vedic Special Application Lepa (HER),473,Initial Opening stock entry
Vedic Natural Rejuvenator (HER),296,Inward inventory lot allocation
Vedic Pure Aqueous Drops (HER),250,Initial setup warehouse inventory allocation
Vedic Ultimate Seeker Starter Kit (HER),359,Warehouse inbound allocation transfer
Vedic Safe Storage Guide (HER),369,Bulk counter stock inward entry
Sattvik Vol 1 Grand Edition (BHO),480,Initial Opening stock entry
Sattvik Vol 2 Standard Text (BHO),223,Inward inventory lot allocation
Sattvik Vol 3 Advanced Study (BHO),465,Initial setup warehouse inventory allocation
Sattvik Vol 4 Complete Guide (BHO),232,Warehouse inbound allocation transfer
Sattvik Foundational Basic Text (BHO),315,Bulk counter stock inward entry
Sattvik Classical Commentary (BHO),344,Initial Opening stock entry
Sattvik Practical Workbook Set (BHO),249,Inward inventory lot allocation
Sattvik Authentic Handbook (BHO),482,Initial setup warehouse inventory allocation
Sattvik Wall Charts Set (BHO),500,Warehouse inbound allocation transfer
Sattvik Reference Manual (BHO),345,Bulk counter stock inward entry
Sattvik Premium Natural Essence (BHO),346,Initial Opening stock entry
Sattvik Pure Extract Drops (BHO),482,Inward inventory lot allocation
Sattvik Therapeutic Tablets (BHO),350,Initial setup warehouse inventory allocation
Sattvik Herbal Powder Mix (BHO),359,Warehouse inbound allocation transfer
Sattvik Premium Concentrated Oil (BHO),370,Bulk counter stock inward entry
Sattvik Special Application Lepa (BHO),279,Initial Opening stock entry
Sattvik Natural Rejuvenator (BHO),279,Inward inventory lot allocation
Sattvik Pure Aqueous Drops (BHO),345,Initial setup warehouse inventory allocation
Sattvik Ultimate Seeker Starter Kit (BHO),343,Warehouse inbound allocation transfer
Sattvik Safe Storage Guide (BHO),365,Bulk counter stock inward entry
Panchgavya Vol 1 Grand Edition (KRA),380,Initial Opening stock entry
Panchgavya Vol 2 Standard Text (KRA),405,Inward inventory lot allocation
Panchgavya Vol 3 Advanced Study (KRA),359,Initial setup warehouse inventory allocation
Panchgavya Vol 4 Complete Guide (KRA),436,Warehouse inbound allocation transfer
Panchgavya Foundational Basic Text (KRA),438,Bulk counter stock inward entry
Panchgavya Classical Commentary (KRA),207,Initial Opening stock entry
Panchgavya Practical Workbook Set (KRA),416,Inward inventory lot allocation
Panchgavya Authentic Handbook (KRA),266,Initial setup warehouse inventory allocation
Panchgavya Wall Charts Set (KRA),320,Warehouse inbound allocation transfer
Panchgavya Reference Manual (KRA),398,Bulk counter stock inward entry
Panchgavya Premium Natural Essence (KRA),485,Initial Opening stock entry
Panchgavya Pure Extract Drops (KRA),449,Inward inventory lot allocation
Panchgavya Therapeutic Tablets (KRA),325,Initial setup warehouse inventory allocation
Panchgavya Herbal Powder Mix (KRA),258,Warehouse inbound allocation transfer
Panchgavya Premium Concentrated Oil (KRA),209,Bulk counter stock inward entry
Panchgavya Special Application Lepa (KRA),402,Initial Opening stock entry
Panchgavya Natural Rejuvenator (KRA),346,Inward inventory lot allocation
Panchgavya Pure Aqueous Drops (KRA),213,Initial setup warehouse inventory allocation
Panchgavya Ultimate Seeker Starter Kit (KRA),499,Warehouse inbound allocation transfer
Panchgavya Safe Storage Guide (KRA),461,Bulk counter stock inward entry
Ganga Vol 1 Grand Edition (GAN),480,Initial Opening stock entry
Ganga Vol 2 Standard Text (GAN),314,Inward inventory lot allocation
Ganga Vol 3 Advanced Study (GAN),483,Initial setup warehouse inventory allocation
Ganga Vol 4 Complete Guide (GAN),362,Warehouse inbound allocation transfer
Ganga Foundational Basic Text (GAN),459,Bulk counter stock inward entry
Ganga Classical Commentary (GAN),256,Initial Opening stock entry
Ganga Practical Workbook Set (GAN),431,Inward inventory lot allocation
Ganga Authentic Handbook (GAN),221,Initial setup warehouse inventory allocation
Ganga Wall Charts Set (GAN),381,Warehouse inbound allocation transfer
Ganga Reference Manual (GAN),303,Bulk counter stock inward entry
Ganga Premium Natural Essence (GAN),228,Initial Opening stock entry
Ganga Pure Extract Drops (GAN),245,Inward inventory lot allocation
Ganga Therapeutic Tablets (GAN),246,Initial setup warehouse inventory allocation
Ganga Herbal Powder Mix (GAN),268,Warehouse inbound allocation transfer
Ganga Premium Concentrated Oil (GAN),459,Bulk counter stock inward entry
Ganga Special Application Lepa (GAN),299,Initial Opening stock entry
Ganga Natural Rejuvenator (GAN),473,Inward inventory lot allocation
Ganga Pure Aqueous Drops (GAN),488,Initial setup warehouse inventory allocation
Ganga Ultimate Seeker Starter Kit (GAN),411,Warehouse inbound allocation transfer
Ganga Safe Storage Guide (GAN),328,Bulk counter stock inward entry
Aromatherapy Vol 1 Grand Edition (ARO),488,Initial Opening stock entry
Aromatherapy Vol 2 Standard Text (ARO),399,Inward inventory lot allocation
Aromatherapy Vol 3 Advanced Study (ARO),382,Initial setup warehouse inventory allocation
Aromatherapy Vol 4 Complete Guide (ARO),272,Warehouse inbound allocation transfer
Aromatherapy Foundational Basic Text (ARO),352,Bulk counter stock inward entry
Aromatherapy Classical Commentary (ARO),444,Initial Opening stock entry
Aromatherapy Practical Workbook Set (ARO),273,Inward inventory lot allocation
Aromatherapy Authentic Handbook (ARO),422,Initial setup warehouse inventory allocation
Aromatherapy Wall Charts Set (ARO),375,Warehouse inbound allocation transfer
Aromatherapy Reference Manual (ARO),372,Bulk counter stock inward entry
Aromatherapy Premium Natural Essence (ARO),348,Initial Opening stock entry
Aromatherapy Pure Extract Drops (ARO),227,Inward inventory lot allocation
Aromatherapy Therapeutic Tablets (ARO),294,Initial setup warehouse inventory allocation
Aromatherapy Herbal Powder Mix (ARO),492,Warehouse inbound allocation transfer
Aromatherapy Premium Concentrated Oil (ARO),259,Bulk counter stock inward entry
Aromatherapy Special Application Lepa (ARO),338,Initial Opening stock entry
Aromatherapy Natural Rejuvenator (ARO),465,Inward inventory lot allocation
Aromatherapy Pure Aqueous Drops (ARO),213,Initial setup warehouse inventory allocation
Aromatherapy Ultimate Seeker Starter Kit (ARO),250,Warehouse inbound allocation transfer
Aromatherapy Safe Storage Guide (ARO),327,Bulk counter stock inward entry
Sanskrit Vol 1 Grand Edition (SAN),499,Initial Opening stock entry
Sanskrit Vol 2 Standard Text (SAN),209,Inward inventory lot allocation
Sanskrit Vol 3 Advanced Study (SAN),491,Initial setup warehouse inventory allocation
Sanskrit Vol 4 Complete Guide (SAN),365,Warehouse inbound allocation transfer
Sanskrit Foundational Basic Text (SAN),421,Bulk counter stock inward entry
Sanskrit Classical Commentary (SAN),246,Initial Opening stock entry
Sanskrit Practical Workbook Set (SAN),484,Inward inventory lot allocation
Sanskrit Authentic Handbook (SAN),435,Initial setup warehouse inventory allocation
Sanskrit Wall Charts Set (SAN),250,Warehouse inbound allocation transfer
Sanskrit Reference Manual (SAN),207,Bulk counter stock inward entry
Sanskrit Premium Natural Essence (SAN),233,Initial Opening stock entry
Sanskrit Pure Extract Drops (SAN),405,Inward inventory lot allocation
Sanskrit Therapeutic Tablets (SAN),311,Initial setup warehouse inventory allocation
Sanskrit Herbal Powder Mix (SAN),321,Warehouse inbound allocation transfer
Sanskrit Premium Concentrated Oil (SAN),414,Bulk counter stock inward entry
Sanskrit Special Application Lepa (SAN),246,Initial Opening stock entry
